Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
white lace fabric by the yard,"Informational, Transactional",140,0,0.35,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
white lace material fabric,"Informational, Commercial",140,2,0.32,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
african fabric lace material,Commercial,110,0,0.24,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
antique lace fabric,"Informational, Transactional",110,3,0.20,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
beige lace fabric,"Informational, Commercial",110,1,0.46,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
black lace material fabric,"Informational, Transactional",110,12,0.39,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
black stretch lace fabric,"Informational, Transactional",110,9,0.44,"Sitelinks, Image, Image pack, Video, Popular products"
cotton lace fabric for dress,Commercial,110,0,0.00,"Sitelinks, Image, Image pack, Video, Discussions and forums, Popular products"
crochet lace fabric,Commercial,110,5,0.32,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
embroidered lace fabric by the yard,Commercial,110,0,0.19,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
eyelet lace fabric,"Informational, Transactional",110,5,0.41,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
fabric black lace,"Informational, Transactional",110,9,0.39,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
fabric lace by the yard,"Informational, Transactional",110,10,0.29,"Sitelinks, Image, Video, Related searches, Popular products"
fabric lace trim,Commercial,110,1,0.24,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
gothic lace fabric,"Informational, Transactional",110,21,0.30,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
how to sew lace onto fabric,Informational,110,14,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
how to sew lace trim onto fabric,Informational,110,31,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, Discussions and forums, Related searches"
kinds of lace fabric,"Informational, Commercial",110,20,0.00,"Sitelinks, AI Overview, Image, Video, Related searches, Popular products"
lace applique fabric,Commercial,110,8,0.27,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
lace fabric dress,Commercial,110,12,0.20,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches"
lace fabric floral,"Informational, Transactional",110,15,0.31,"Sitelinks, Image, Image pack, Video, Video carousel, Popular products"
lace for fabric,Commercial,110,26,0.34,"Sitelinks, Image, Image pack, Video, Video carousel, Local pack, Related searches, Popular products"
lace spider web fabric,"Informational, Transactional",110,20,0.36,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
navy blue lace fabric,"Informational, Commercial",110,10,0.43,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
organza lace fabric,"Informational, Transactional",110,12,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Popular products"
red fabric lace high quality,"Informational, Transactional",110,1,0.00,"Sitelinks, Image, Video, Related searches, Popular products"
sequin fabric lace,"Informational, Commercial",110,2,0.48,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
